spring	1_098_V_fcw_01.mp3	春

summer	1_098_V_fcw_02.mp3	夏

fall	1_098_V_fcw_03.mp3	秋

winter	1_098_V_fcw_04.mp3	冬

January	1_098_V_fcw_05.mp3	1月

February	1_098_V_fcw_06.mp3	2月

March	1_098_V_fcw_07.mp3	3月

April	1_098_V_fcw_08.mp3	4月

May	1_098_V_fcw_09.mp3	5月

June	1_098_V_fcw_10.mp3	6月

July	1_098_V_fcw_11.mp3	7月

August	1_098_V_fcw_12.mp3	8月

September	1_098_V_fcw_13.mp3	9月

October	1_098_V_fcw_14.mp3	10月

November	1_098_V_fcw_15.mp3	11月

December	1_098_V_fcw_16.mp3	12月

season(s)	1_098_V_fcw_17.mp3	季節

month(s)	1_098_V_fcw_18.mp3	月

Japan	1_098_V_fcw_19.mp3	日本

start(s)	1_098_V_fcw_20.mp3	始まる，（〜を）始める

vacation	1_098_V_fcw_21.mp3	休み，休暇

or	1_098_V_fcw_22.mp3	か，または，それとも

fourth	1_099_V_fcw_01.mp3	4番目（の），4日

fifth	1_099_V_fcw_02.mp3	5番目（の），5日

sixth	1_099_V_fcw_03.mp3	6番目（の），6日

seventh	1_099_V_fcw_04.mp3	7番目（の），7日

eighth	1_099_V_fcw_05.mp3	8番目（の），8日

ninth	1_099_V_fcw_06.mp3	9番目（の），9日

tenth	1_099_V_fcw_07.mp3	10番目（の），10日

eleventh	1_099_V_fcw_08.mp3	11番目（の），11日

twelfth	1_099_V_fcw_09.mp3	12番目（の），12日

date	1_099_V_fcw_10.mp3	日付

birthday	1_099_V_fcw_11.mp3	誕生日

festival	1_099_V_fcw_12.mp3	祭り

when's	1_099_V_fcw_13.mp3	when is

school festival	1_099_V_fcw_14.mp3	文化祭

Sports Day	1_099_V_fcw_15.mp3	体育の日

